Ligand,BestMode,minimizedAffinity (kcal/mol),CNNscore,CNNaffinity,CNN_VS
CONH2_docked_random_indole_CONH2_7.sdf,9,-10.25911,0.7760419250,8.4637069702,6.5681915283
Combined groups_docked_random_indole_combined_CONH217_NH215_OH11_17.sdf,5,-10.22268,0.5713179708,8.3744134903,4.7844529152
OH_docked_random_indole_OH_6.sdf,6,-10.22164,0.5890884399,8.1671171188,4.8111543655
Combined groups_docked_random_indole_combined_CH311_F13_SO2CH314_44.sdf,4,-10.06429,0.7061485648,9.1121377945,6.4345231056
Combined groups_docked_random_indole_combined_F13_CF314_10.sdf,1,-10.04975,0.6823241711,8.9306612015,6.0936059952
Combined groups_docked_random_indole_combined_CONH211_76.sdf,1,-10.03019,0.7373684049,8.2995719910,6.1198420525
OH_docked_random_indole_OH_3.sdf,8,-10.02705,0.5050436854,8.2281789780,4.1555900574
Combined groups_docked_random_indole_combined_CONH211_68.sdf,8,-10.01793,0.7421710491,8.4126129150,6.2435979843
CH3_docked_random_indole_CH3_3.sdf,9,-10.00513,0.4873335361,8.2026004791,3.9974021912
Combined groups_docked_random_indole_combined_NH211_62.sdf,2,-10.00444,0.7686535120,8.5406541824,6.5648036003
OH_docked_random_indole_OH_4.sdf,4,-10.00197,0.5896742344,8.0876407623,4.7690734863
CH2OH_docked_random_indole_CH2OH_4.sdf,7,-9.99762,0.5518884063,8.0758848190,4.4569873810
CH3_docked_random_indole_CH3_8.sdf,9,-9.9955,0.5728687644,8.6833934784,4.9744448662
F_docked_random_indole_F_7.sdf,6,-9.98369,0.6362623572,8.2203474045,5.2302975655
Combined groups_docked_random_indole_combined_OH11_43.sdf,1,-9.97759,0.6442535520,8.3234167099,5.3623909950
Combined groups_docked_random_indole_combined_OH17_20.sdf,3,-9.96941,0.7171365023,8.1711444855,5.8598260880
F_docked_random_indole_F_10.sdf,5,-9.96602,0.5407994986,8.6516332626,4.6787991524
CF3_docked_random_indole_cf3_1.sdf,9,-9.95209,0.5859204531,8.5981311798,5.0378208160
NH2_docked_random_indole_NH2_4.sdf,7,-9.94616,0.5570513010,8.4122495651,4.6860547066
F_docked_random_indole_F_9.sdf,3,-9.91671,0.6419708133,8.5727081299,5.5034284592
F_docked_random_indole_F_2.sdf,7,-9.91656,0.5587119460,8.5457515717,4.7746133804
F_docked_random_indole_F_4.sdf,8,-9.90524,0.5783407092,8.6255140305,4.9884858131
F_docked_random_indole_F_6.sdf,4,-9.90066,0.6202964187,8.7880172729,5.4511756897
CONH2_docked_random_indole_CONH2_4.sdf,7,-9.87863,0.5461646914,8.5265865326,4.6569204330
CH2OH_docked_random_indole_CH2OH_3.sdf,7,-9.86864,0.5419834852,8.3878984451,4.5461025238
CONH2_docked_random_indole_CONH2_8.sdf,8,-9.85678,0.6698712111,8.6932430267,5.8233532906
Combined groups_docked_random_indole_combined_NH215_84.sdf,6,-9.85463,0.5689346194,8.3669576645,4.7602519989
Combined groups_docked_random_indole_combined_NH215_66.sdf,3,-9.85199,0.5456826687,8.3302335739,4.5456643105
CN_docked_random_indole_CN_5.sdf,7,-9.84625,0.6003419161,8.3950614929,5.0399074554
CF3_docked_random_indole_cf3_7.sdf,4,-9.83339,0.7095280290,9.7741355896,6.9350233078
Combined groups_docked_random_indole_combined_F11_60.sdf,3,-9.83226,0.6405009627,8.5806417465,5.4959092140
Combined groups_docked_random_indole_combined_CH2OH14_8.sdf,4,-9.83222,0.5889459252,7.7523946762,4.5657410622
NH2_docked_random_indole_NH2_8.sdf,5,-9.82353,0.4266977310,8.4039440155,3.5859439373
Combined groups_docked_random_indole_combined_NH213_F15_CONH214_30.sdf,7,-9.81342,0.4799836278,8.1456289291,3.9097685814
Combined groups_docked_random_indole_combined_OH11_72.sdf,7,-9.81005,0.5712954998,8.2430553436,4.7092204094
CH3_docked_random_indole_CH3_2.sdf,3,-9.80556,0.7165488005,8.2048807144,5.8791975975
Combined groups_docked_random_indole_combined_CF313_CH315_CH317_87.sdf,2,-9.80528,0.8531213999,9.0639419556,7.7326426506
CH3_docked_random_indole_CH3_10.sdf,9,-9.78452,0.5695860386,8.4406223297,4.8076605797
Combined groups_docked_random_indole_combined_OH11_98.sdf,8,-9.77005,0.5918396711,8.0890827179,4.7874398232
Combined groups_docked_random_indole_combined_NH215_38.sdf,2,-9.76771,0.6790178418,8.2321434021,5.5897722244
CF3_docked_random_indole_cf3_10.sdf,3,-9.76465,0.6521402597,9.0673685074,5.9131960869
CF3_docked_random_indole_cf3_3.sdf,9,-9.75491,0.5136910677,9.6107635498,4.9369635582
NH2_docked_random_indole_NH2_1.sdf,8,-9.75427,0.3130854368,8.2595138550,2.5859334469
Combined groups_docked_random_indole_combined_NH217_49.sdf,3,-9.75366,0.5327460170,8.1835517883,4.3597545624
CF3_docked_random_indole_cf3_5.sdf,9,-9.73963,0.6152533293,9.5230464935,5.8590860367
Combined groups_docked_random_indole_combined_CONH217_81.sdf,2,-9.73163,0.7149707675,8.5391263962,6.1052255630
OCH3_docked_random_indole_OCH3_1.sdf,4,-9.72726,0.6182612181,8.3137245178,5.1400532722
Combined groups_docked_random_indole_combined_OCH317_42.sdf,4,-9.72415,0.7377829552,8.5765705109,6.3276476860
Combined groups_docked_random_indole_combined_F15_CN13_F17_40.sdf,3,-9.72402,0.5989896655,8.9329032898,5.3507165909
Combined groups_docked_random_indole_combined_CH2OH15_95.sdf,3,-9.70235,0.6385993361,8.3039674759,5.3029079437
Combined groups_docked_random_indole_combined_CH2OH14_31.sdf,9,-9.70155,0.4902641773,8.1842250824,4.0124325752
Combined groups_docked_random_indole_combined_NH214_41.sdf,3,-9.69877,0.4775727391,8.0958852768,3.8663740158
Combined groups_docked_random_indole_combined_CH2OH17_34.sdf,8,-9.69733,0.5098598599,8.0422258377,4.1004080772
Combined groups_docked_random_indole_combined_CF311_36.sdf,6,-9.69075,0.8127518892,8.8320131302,7.1782355309
Combined groups_docked_random_indole_combined_SO2CH311_CH2OH15_OH14_29.sdf,1,-9.6896,0.7914137244,8.6711330414,6.8624534607
CONH2_docked_random_indole_CONH2_10.sdf,8,-9.67719,0.5577195883,8.2698812485,4.6122746468
Combined groups_docked_random_indole_combined_NH211_32.sdf,3,-9.66708,0.7278466821,8.3558969498,6.0818119049
Combined groups_docked_random_indole_combined_SO2CH314_56.sdf,7,-9.65945,0.5560331941,8.6450414658,4.8069300652
Combined groups_docked_random_indole_combined_CH314_1.sdf,1,-9.64456,0.8047312498,8.2273454666,6.6208019257
